Name,Datetime,Longitude,Latitude,Protocol,Area,Group,Instrument,Angular Resolution,Pulse Rate,Light,Wind,Survey Control,Description,Open,Image,QSM
IT_HI_T1,2018-05-09T00:00:00,11.7,43.1,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
IT_HI_T2,2018-05-10T00:00:00,11,43.4,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
IT_HI_T3,2018-05-09T00:00:00,11.7,43.1,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
IT_LO_T1,2018-05-11T00:00:00,11.2,43.3,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
IT_LO_T2,2018-05-11T00:00:00,11.2,43.3,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
IT_LO_T3,2018-05-09T00:00:00,11.2,43.3,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
IT_ME_T1,2018-05-10T00:00:00,11,43.5,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
IT_ME_T2,2018-05-08T00:00:00,11,43.4,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
IT_ME_T3,2018-05-08T00:00:00,11,43.4,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
Koophandelsplein,2018-02-12T00:00:00,3.720445,51.050327,both_sides_of_tree_row,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,City trees (Platanus x acerifolia),contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Kouter,2018-02-12T00:00:00,3.723596,51.050014,both_sides_of_tree_row,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,City trees (Tilia),contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Litchfield,2018-08-21T00:00:00,130.794429,-13.179233,uniform25m_1ha,1,Ghent University,RIEGL VZ400,0.04,300,unknown,light-medium,multiple_targets,Tropical Savanna,contact:kim.calders@ugent.be,,Yes
NF_LO_T1,2018-06-05T00:00:00,2.8,49.6,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NF_LO_T2,2018-06-05T00:00:00,2.9,49.6,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NF_LO_T3,2018-06-05T00:00:00,3,49.7,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,medium,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_HI_T1,2018-06-23T00:00:00,9.4,62.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_HI_T2,2018-06-23T00:00:00,9.4,62.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,lighmedium,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_HI_T3,2018-06-23T00:00:00,9.4,62.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_LO_T1,2018-06-20T00:00:00,10.1,63.7,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,medium-high,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_LO_T2,2018-06-20T00:00:00,10.2,63.7,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_LO_T3,2018-06-21T00:00:00,9.9,63.8,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_ME_T1,2018-06-24T00:00:00,9.1,62.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_ME_T2,2018-06-24T00:00:00,9.1,62.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
NO_ME_T3,2018-06-24T00:00:00,9.1,62.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
OliverCreek,2018-08-04T00:00:00,145.441194,-16.136139,uniform10m_0.5ha,0.5,Ghent University,RIEGL VZ400,0.04,300,unknown,none,multiple_targets,Wet Tropics,contact:kim.calders@ugent.be,,Yes
Pastoorsbos,2018-02-19T00:00:00,4.545,51.3919,uniform_20m_0.48ha,0.48,Ghent University,RIEGL VZ1000,0.04,300,unknown,none,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
PO_LO_T1,2018-05-31T00:00:00,18.9,50.7,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
PO_LO_T2,2018-05-31T00:00:00,18.8,50.7,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
PO_LO_T3,2018-05-31T00:00:00,18.9,50.7,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
ROB06,2018-07-28T00:00:00,145.634,-17.121,uniform10m_1ha,1,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,Wet Tropics,contact:kim.calders@ugent.be,,No
ROB17,2018-07-23T00:00:00,145.634,-17.121,uniform10m_1ha,1,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,Wet Tropics,contact:kim.calders@ugent.be,,Yes
SS_LO_T1,2018-06-30T00:00:00,13.3,56,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
SS_LO_T2,2018-06-30T00:00:00,13.4,56.1,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
SS_LO_T3,2018-06-30T00:00:00,13.4,56.1,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
SW_LO_T1,2018-05-16T00:00:00,8.6,47.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
SW_LO_T2,2018-05-15T00:00:00,8.6,47.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
SW_LO_T3,2018-05-15T00:00:00,8.6,47.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
Dassenbos,2014-01-01T00:00:00,5.65555556,51.98277778,4_single_locations,0,Wageningen University,RIEGL VZ400,0.06,300,unknown,unknown,tilt_upright,"Deciduous forest, phenology monitoring throughout year",contact:kim.calders@ugent.be,,No
Dassenbos,2015-01-01T00:00:00,5.65555556,51.98277778,4_single_locations,0,Wageningen University,RIEGL VZ400,0.06,300,unknown,unknown,tilt_upright,"Deciduous forest, phenology monitoring throughout year",contact:kim.calders@ugent.be,,No
Dassenbos,2016-01-01T00:00:00,5.65555556,51.98277778,4_single_locations,0,Wageningen University,RIEGL VZ400,0.06,300,unknown,unknown,tilt_upright,"Deciduous forest, phenology monitoring throughout year",contact:kim.calders@ugent.be,,No
Dassenbos,2017-01-01T00:00:00,5.65555556,51.98277778,4_single_locations,0,Wageningen University,RIEGL VZ400,0.06,300,unknown,unknown,tilt_upright,"Deciduous forest, phenology monitoring throughout year",contact:kim.calders@ugent.be,,No
Dassenbos,2018-01-01T00:00:00,5.65555556,51.98277778,4_single_locations,0,Wageningen University,RIEGL VZ400,0.06,300,unknown,unknown,tilt_upright,"Deciduous forest, phenology monitoring throughout year",contact:kim.calders@ugent.be,,No
