Name,Datetime,Longitude,Latitude,Protocol,Area,Group,Instrument,Angular Resolution,Pulse Rate,Light,Wind,Survey Control,Description,Open,Image,QSM
Plumas_15,2017-06-07T00:00:00,-121.0158,39.62915,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_15,2017-09-06T00:00:00,-121.0158,39.62915,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_15,2018-05-23T00:00:00,-121.0158,39.62915,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_16,2017-06-13T00:00:00,-120.9946,39.89364,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_16,2017-09-12T00:00:00,-120.9946,39.89364,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_16,2018-06-04T00:00:00,-120.9946,39.89364,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_17,2017-06-07T00:00:00,-121.0168,39.67234,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_17,2017-08-31T00:00:00,-121.0168,39.67234,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_17,2018-05-17T00:00:00,-121.0168,39.67235,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_18,2017-05-31T00:00:00,-120.5372,39.77567,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_18,2017-08-29T00:00:00,-120.5372,39.77567,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_18,2018-06-06T00:00:00,-120.5372,39.77567,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_2,2017-05-18T00:00:00,-121.2628,39.55835,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_2,2017-08-23T00:00:00,-121.2628,39.55835,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_2,2017-10-16T00:00:00,-121.2628,39.55835,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,Post-fire scan(Burned ~ 08/30/2017),Contact:jgreenberg@unr.edu,,No
Plumas_2,2018-05-08T00:00:00,-121.2627,39.55834,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_20,2017-06-14T00:00:00,-120.7993,39.84355,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_20,2017-09-14T00:00:00,-120.7993,39.84355,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_20,2018-06-07T00:00:00,-120.7993,39.84353,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_202,2018-04-30T00:00:00,-121.3593,39.39852,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,firmware issue. reflector search turned off,Contact:jgreenberg@unr.edu,,No
Plumas_205,2018-05-08T00:00:00,-121.3392,39.55036,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,firmware issue. reflector search turned off,Contact:jgreenberg@unr.edu,,No
Plumas_206,2018-05-09T00:00:00,-121.3134,39.64512,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,firmware issue. reflector search turned off,Contact:jgreenberg@unr.edu,,No
Plumas_208,2018-06-26T00:00:00,-121.3146,39.83296,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_209,2018-06-26T00:00:00,-121.2521,39.86599,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_21,2017-05-30T00:00:00,-120.4126,39.80045,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_21,2017-08-28T00:00:00,-120.4126,39.80045,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_21,2018-06-11T00:00:00,-120.4126,39.80044,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_210,2018-04-27T00:00:00,-121.1538,39.39446,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_216,2018-06-28T00:00:00,-121.2214,39.84898,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_218,2018-05-17T00:00:00,-121.044,39.65199,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_22,2017-06-27T00:00:00,-121.249,39.82189,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_22,2017-09-20T00:00:00,-121.249,39.82189,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_22,2018-07-03T00:00:00,-121.249,39.82185,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_23,2017-06-13T00:00:00,-121.0238,39.90135,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_23,2017-09-12T00:00:00,-121.0238,39.90135,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_23,2018-05-31T00:00:00,-121.0238,39.90135,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_24,2017-06-15T00:00:00,-121.2643,39.85548,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_24,2017-09-11T00:00:00,-121.2643,39.85548,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_24,2018-06-26T00:00:00,-121.2643,39.85547,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_25,2017-06-14T00:00:00,-120.8307,39.96937,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_25,2017-09-13T00:00:00,-120.8307,39.96937,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_25,2018-06-05T00:00:00,-120.8307,39.96937,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_26,2017-06-05T00:00:00,-121.1221,39.76359,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_26,2017-08-30T00:00:00,-121.1221,39.76359,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_26,2018-05-22T00:00:00,-121.1221,39.76359,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_27,2017-06-12T00:00:00,-120.4943,39.68391,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_27,2017-09-14T00:00:00,-120.4943,39.68391,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_27,2018-06-20T00:00:00,-120.4943,39.68392,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_28,2017-06-27T00:00:00,-121.0541,39.83771,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_28,2017-09-20T00:00:00,-121.0541,39.83771,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_28,2018-06-04T00:00:00,-121.0541,39.83772,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_29,2017-06-07T00:00:00,-120.9594,39.68496,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_29,2017-08-31T00:00:00,-120.9594,39.68496,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_29,2018-05-30T00:00:00,-120.9594,39.68494,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_3,2017-05-16T00:00:00,-121.1804,39.47811,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_3,2017-08-17T00:00:00,-121.1804,39.47811,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_3,2018-05-03T00:00:00,-121.1804,39.47811,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,Firmware issue. Reflector search turned off.,Contact:jgreenberg@unr.edu,,No
Plumas_30,2018-06-13T00:00:00,-120.501,39.93296,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_30,2017-05-28T00:00:00,-120.5009,39.93296,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_30,2017-05-30T00:00:00,-120.5009,39.93296,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_31,2017-06-26T00:00:00,-120.9299,39.81877,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_31,2017-09-19T00:00:00,-120.9299,39.81877,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_31,2018-06-27T00:00:00,-120.9299,39.81877,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_32,2017-06-27T00:00:00,-121.1342,39.85175,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_32,2017-09-25T00:00:00,-121.1342,39.85175,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_32,2018-06-28T00:00:00,-121.1342,39.85176,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_33,2017-05-30T00:00:00,-120.5934,39.93129,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_33,2017-08-28T00:00:00,-120.5934,39.93129,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_33,2018-06-13T00:00:00,-120.5934,39.93129,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_34,2017-06-26T00:00:00,-120.8643,39.79148,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_34,2017-09-19T00:00:00,-120.8643,39.79148,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_34,2018-06-25T00:00:00,-120.8643,39.79149,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_35,2017-06-26T00:00:00,-120.4353,39.77793,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_35,2017-09-21T00:00:00,-120.4353,39.77793,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_35,2018-06-11T00:00:00,-120.4353,39.77793,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_36,2017-06-22T00:00:00,-120.757,39.73658,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_36,2017-09-25T00:00:00,-120.757,39.73658,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_36,2018-07-04T00:00:00,-120.757,39.73658,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_36,2018-07-05T00:00:00,-120.757,39.73658,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_37,2017-07-24T00:00:00,-120.8492,39.74126,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_37,2017-10-17T00:00:00,-120.8492,39.74126,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_37,2018-06-25T00:00:00,-120.8492,39.74126,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_38,2017-06-22T00:00:00,-120.581,39.8696,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_38,2017-09-26T00:00:00,-120.581,39.8696,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_38,2018-06-18T00:00:00,-120.581,39.86959,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_39,2017-06-28T00:00:00,-120.7157,39.88405,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_39,2017-09-27T00:00:00,-120.7157,39.88405,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_39,2018-06-07T00:00:00,-120,38.01637,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_4,2017-05-15T00:00:00,-121.1696,39.36863,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_4,2017-08-15T00:00:00,-121.1696,39.36863,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_4,2018-05-02T00:00:00,-121.1696,39.36863,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,Firmware issue. Reflector search turned off.,Contact:jgreenberg@unr.edu,,No
Plumas_40,2017-07-19T00:00:00,-120.5161,39.65073,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_40,2017-10-13T00:00:00,-120.5161,39.65073,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_40,2018-07-11T00:00:00,-120.5161,39.65072,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_41,2017-06-28T00:00:00,-120.759,39.96296,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_41,2017-09-26T00:00:00,-120.759,39.96296,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
